nama_rumah,kamar_mandi,kamar_tidur,luas_m2,harga,harga_m2,alamat,link
Rumah di Pondok Indah,5,8,650,39000000000,61904762,"Pondok Indah, Pondok Pinang,, Pondok Indah, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-rumah-di-pondok-indah-oleh-yanti-17667603
DIJUAL RUMAH MEWAH  KEMANG JAKARTA SELATAN !,6,8,900,39000000000,33913043,"Kemang, Kemang, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-dijual-rumah-mewah-kemang-jakarta-selatan-oleh-ahmad-sauqi-18833437
Rumah Bagus di Kebayoran Baru dekat Senopati,6,6,500,39000000000,97500000,"Kebayoran Baru, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-rumah-bagus-di-kebayoran-baru-dekat-senopati-oleh-dhenis-emanuel-18910987
Kemang Dalam Area Favorit & Terelit Rumah Mewah Brand New Spek Istimewa,4,5,900,38500000000,33478261,"Kemang, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-kemang-dalam-area-favorit-terelit-rumah-mewah-brand-new-spek-istimewa-oleh-nizar-luthfi-18854699
Pondok Indah dekat Bukit Golf Mewah Best Price,6,9,512,38500000000,46497585,"Pondok Indah, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-pondok-indah-dekat-bukit-golf-mewah-best-price-oleh-nizar-luthfi-17927904
Rumah Patra Kuningan Jakarta Selatan,3,6,550,38000000000,48223350,"Patra Kuningan Jakarta Selatan, Patra Kuningan, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-rumah-patra-kuningan-jakarta-selatan-oleh-christin-sitompul-18266344
rumah baru brawijaya kebayoran baru,5,4,11000,38000000000,90909091,"brawijaya kebayoran baru jakarta selatan, Kebayoran Baru, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-rumah-baru-brawijaya-kebayoran-baru-oleh-agus-faisal-18244097
Pejaten Barat,6,6,900,38000000000,36750484,"Pejaten barat, Pejaten, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-pejaten-barat-oleh-nelfi-tanjung-18476750
Rumah Dijual Mewah Kondisi Baru Fasilitas Private Pool Di Pondok Indah,5,5,525,37500000000,71428571,"Pondok Indah, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-rumah-dijual-mewah-kondisi-baru-fasilitas-private-pool-di-pondok-indah-oleh-fathia-thalib-s-i-kom-18901658
"PONDOK INDAH, Rumah Lokasi Strategis Harga NJOP",4,7,600,37000000000,30782030,"Pondok Indah, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-pondok-indah-rumah-lokasi-strategis-harga-njop-oleh-nina-ika-dewandari-18863775
pondok indah,6,6,1000,37000000000,48177083,"pondok indah, kebayoran lama, jakarta selatan, Pondok Indah, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-pondok-indah-oleh-agus-faisal-18936655
